"","Season","Team","Roster Continuity","Lg","W","L","WP","Finish","SRS","Pace","Rel_Pace","ORtg","Rel_ORtg","DRtg","Rel_DRtg","Playoffs","Coaches","Top.WS","Winning.Percentage.ratio"
"717","1979","IND",0.56,"NBA",37,45,0.451,4,-0.54,104.4,1.3,105.5,0.2,106.2,0.9,"","S. Leonard (37-45)","M. Johnson (7.3)",0.973684210526316
"718","1978","IND",0.48,"NBA",38,44,0.463,4,-1.41,105.3,-0.5,103,-0.8,104.5,0.7,"","S. Leonard (38-44)","J. Edwards (7.1)",1.2258064516129
"719","1977","IND",0.38,"NBA",31,51,0.378,6,-2.37,108.2,1.5,99.6,-1.3,101.9,1,"","S. Leonard (31-51)","D. Roundfield (6.9)",0.861111111111111
"720","1976","IND",NA,"NBA",36,46,0.439,5,-1.68,107.1,0.6,99.3,-0.2,101,1.5,"","S. Leonard (36-46)","B. Knight (10.7)",0.923076923076923
"721","1975","IND",NA,"ABA",39,45,0.464,5,0.29,107.7,0.8,103.7,-0.4,103.9,-0.2,"Lost 1st Rnd.","S. Leonard (39-45)","D. Buse (10.6)",0.866666666666667
"722","1974","IND",NA,"ABA",45,39,0.536,3,1.14,105.1,2,106.7,2,105.7,1,"Lost Finals","S. Leonard (45-39)","G. McGinnis (11.6)",0.978260869565217
"723","1973","IND",NA,"ABA",46,38,0.548,2,0.68,103,0.4,101.7,-1.3,100.9,-2.1,"Lost W. Div. Finals","S. Leonard (46-38)","G. McGinnis (10.1)",0.901960784313726
"724","1972","IND",NA,"ABA",51,33,0.607,2,1.97,112.7,3.4,100.7,-1.1,98.8,-3,"Won Finals","S. Leonard (51-33)","G. McGinnis (11.4)",1.08510638297872
"725","1971","IND",NA,"ABA",47,37,0.56,2,2.72,110.7,-1.2,101.1,0.5,98.7,-1.9,"Won Finals","S. Leonard (47-37)","M. Daniels (10.3)",0.810344827586207
"726","1970","IND",NA,"ABA",58,26,0.69,1,5.63,108.1,-3,109.1,4.1,103.6,-1.4,"Lost W. Div. Finals","S. Leonard (58-26)","M. Daniels (11.4)",0.983050847457627
"727","1969","IND",NA,"ABA",59,25,0.702,1,2.67,106.7,-2.5,105.4,2.7,102.2,-0.5,"Won Finals","S. Leonard (59-25)","R. Brown (13.3)",1.34090909090909
"728","1968","IND",NA,"ABA",44,34,0.564,1,3.35,111.4,2,106.3,2.3,102.6,-1.4,"Lost Finals","L. Staverman (2-7) S. Leonard (42-27)","R. Brown (10.0)",1.15789473684211
"729","1967","IND",NA,"ABA",38,40,0.487,3,0.5,107.2,0.2,101.5,0.2,101.3,0,"Lost E. Div. Semis","L. Staverman (38-40)","F. Lewis (7.5)",NA
"730","2017","CHI",0.51,"NBA",13,22,0.371,5,-5.4,97.5,0.4,102.2,-5.6,107.9,0.1,"","F. Hoiberg (13-22)","J. Grant (2.0)",0.317073170731707
"731","2016","CHI",0.46,"NBA",41,41,0.5,4,0.03,95.3,-1.1,107.4,-1.4,107,-1.8,"Lost E. Conf. 1st Rnd.","F. Hoiberg (41-41)","J. Butler (13.8)",0.976190476190476
"732","2015","CHI",0.9,"NBA",42,40,0.512,4,-1.46,95.7,-0.1,105,-1.4,106.5,0.1,"","F. Hoiberg (42-40)","J. Butler (9.1)",0.84
"733","2014","CHI",0.64,"NBA",50,32,0.61,2,2.54,92.8,-1.1,107.5,1.9,104.3,-1.3,"Lost E. Conf. Semis","T. Thibodeau (50-32)","J. Butler (11.2)",1.04166666666667
"734","2013","CHI",0.69,"NBA",48,34,0.585,2,1.2,90.2,-3.7,102.5,-4.2,100.5,-6.2,"Lost E. Conf. 1st Rnd.","T. Thibodeau (48-34)","J. Noah (11.2)",1.06666666666667
"735","2012","CHI",0.63,"NBA",45,37,0.549,2,-0.02,89.3,-2.7,103.5,-2.4,103.2,-2.7,"Lost E. Conf. Semis","T. Thibodeau (45-37)","J. Noah (7.3)",0.9
"736","2011","CHI",0.93,"NBA",50,16,0.758,1,7.43,89.1,-2.2,107.4,2.8,98.3,-6.3,"Lost E. Conf. 1st Rnd.","T. Thibodeau (50-16)","J. Noah (9.0)",0.806451612903226
"737","2010","CHI",0.49,"NBA",62,20,0.756,1,6.53,90.4,-1.7,108.3,1,100.3,-7,"Lost E. Conf. Finals","T. Thibodeau (62-20)","D. Rose (13.1)",1.51219512195122
"738","2009","CHI",0.72,"NBA",41,41,0.5,3,-1.64,93.1,0.4,103.5,-4.1,105.3,-2.3,"Lost E. Conf. 1st Rnd.","V. Del Negro (41-41)","J. Noah (6.2)",1
"739","2008","CHI",0.73,"NBA",41,41,0.5,2,-0.16,93.1,1.4,108.4,0.1,108.7,0.4,"Lost E. Conf. 1st Rnd.","V. Del Negro (41-41)","B. Gordon (6.9)",1.24242424242424
"740","2007","CHI",0.76,"NBA",33,49,0.402,4,-3.19,93,0.6,103.9,-3.6,107.2,-0.3,"","S. Skiles (9-16) P. Myers (0-1) J. Boylan (24-32)","B. Gordon (5.1)",0.673469387755102
"741","2006","CHI",0.65,"NBA",49,33,0.598,3,4.52,93.6,1.7,104.9,-1.6,99.6,-6.9,"Lost E. Conf. Semis","S. Skiles (49-33)","L. Deng (11.3)",1.19512195121951
"742","2005","CHI",0.82,"NBA",41,41,0.5,4,0.51,92.9,2.4,104,-2.2,103.4,-2.8,"Lost E. Conf. 1st Rnd.","S. Skiles (41-41)","K. Hinrich (7.6)",0.872340425531915
"743","2004","CHI",0.46,"NBA",47,35,0.573,2,0.65,92.4,1.5,101.4,-4.7,100.3,-5.8,"Lost E. Conf. 1st Rnd.","S. Skiles (47-35)","T. Chandler (8.3)",2.04347826086957
"744","2003","CHI",0.49,"NBA",23,59,0.28,8,-6.69,92.2,2.1,96.6,-6.3,103.4,0.5,"","B. Cartwright (4-10) P. Myers (0-2) S. Skiles (19-47)","K. Hinrich (4.1)",0.766666666666667
"745","2002","CHI",0.69,"NBA",30,52,0.366,6,-5.31,93.5,2.5,100.2,-3.4,105.6,2,"","B. Cartwright (30-52)","D. Marshall (6.0)",1.42857142857143
"746","2001","CHI",0.45,"NBA",21,61,0.256,8,-8.52,90.5,-0.2,98.2,-6.3,107.6,3.1,"","T. Floyd (4-21) B. Berry (0-2) B. Cartwright (17-38)","B. Miller (4.4)",1.4
"747","2000","CHI",0.47,"NBA",15,67,0.183,8,-9.09,89.3,-2,97.2,-5.8,107.3,4.3,"","T. Floyd (15-67)","E. Brand (6.1)",0.882352941176471
"748","1999","CHI",0.28,"NBA",17,65,0.207,8,-9.23,89.4,-3.7,94.2,-9.9,104.6,0.5,"","T. Floyd (17-65)","E. Brand (7.5)",1.30769230769231
"749","1998","CHI",0.58,"NBA",13,37,0.26,8,-8.58,88.1,-0.8,92.4,-9.8,103,0.8,"","T. Floyd (13-37)","D. Simpkins (2.9)",0.209677419354839
"750","1997","CHI",0.92,"NBA",62,20,0.756,1,7.24,89,-1.3,107.7,2.7,99.8,-5.2,"Won Finals","P. Jackson (62-20)","M. Jordan (15.8)",0.898550724637681
"751","1996","CHI",0.97,"NBA",69,13,0.841,1,10.7,90,-0.1,114.4,7.7,102.4,-4.3,"Won Finals","P. Jackson (69-13)","M. Jordan (18.3)",0.958333333333333
"752","1995","CHI",0.81,"NBA",72,10,0.878,1,11.8,91.1,-0.7,115.2,7.6,101.8,-5.8,"Won Finals","P. Jackson (72-10)","M. Jordan (20.4)",1.53191489361702
"753","1994","CHI",0.8,"NBA",47,35,0.573,3,4.32,92,-0.9,109.5,1.2,104.3,-4,"Lost E. Conf. Semis","P. Jackson (47-35)","S. Pippen (11.8)",0.854545454545454
"754","1993","CHI",0.57,"NBA",55,27,0.671,2,2.87,91.9,-3.2,106.1,-0.2,102.7,-3.6,"Lost E. Conf. Semis","P. Jackson (55-27)","S. Pippen (11.2)",0.964912280701754
"755","1992","CHI",0.86,"NBA",57,25,0.695,1,6.19,92.5,-4.3,112.9,4.9,106.1,-1.9,"Won Finals","P. Jackson (57-25)","M. Jordan (17.2)",0.850746268656716
"756","1991","CHI",0.96,"NBA",67,15,0.817,1,10.07,94.4,-2.2,115.5,7.3,104.5,-3.7,"Won Finals","P. Jackson (67-15)","M. Jordan (17.7)",1.09836065573771
"757","1990","CHI",0.89,"NBA",61,21,0.744,1,8.57,95.6,-2.2,114.6,6.7,105.2,-2.7,"Won Finals","P. Jackson (61-21)","M. Jordan (20.3)",1.10909090909091
"758","1989","CHI",0.83,"NBA",55,27,0.671,2,2.74,96.7,-1.6,112.3,4.2,109,0.9,"Lost E. Conf. Finals","P. Jackson (55-27)","M. Jordan (19.0)",1.17021276595745
"759","1988","CHI",0.77,"NBA",47,35,0.573,5,2.13,97,-3.6,109.1,1.3,107.7,-0.1,"Lost E. Conf. Finals","D. Collins (47-35)","M. Jordan (19.8)",0.94
"760","1987","CHI",0.71,"NBA",50,32,0.61,2,3.76,95.5,-4.1,109,1,105.5,-2.5,"Lost E. Conf. Semis","D. Collins (50-32)","M. Jordan (21.2)",1.25
"761","1986","CHI",0.66,"NBA",40,42,0.488,5,1.26,95.8,-5,108.6,0.3,107.6,-0.7,"Lost E. Conf. 1st Rnd.","D. Collins (40-42)","M. Jordan (16.9)",1.33333333333333
"762","1985","CHI",0.44,"NBA",30,52,0.366,4,-3.12,99.7,-2.4,108.6,1.4,112.4,5.2,"Lost E. Conf. 1st Rnd.","S. Albeck (30-52)","O. Woolridge (5.6)",0.789473684210526
"763","1984","CHI",0.72,"NBA",38,44,0.463,3,-0.5,99.4,-2.7,108.7,0.8,109.6,1.7,"Lost E. Conf. 1st Rnd.","K. Loughery (38-44)","M. Jordan (14.0)",1.40740740740741
"764","1983","CHI",0.71,"NBA",27,55,0.329,5,-4.69,99.8,-1.6,102.4,-5.2,107.5,-0.1,"","K. Loughery (27-55)","D. Greenwood (5.7)",0.964285714285714
"765","1982","CHI",0.52,"NBA",28,54,0.341,4,-4.41,106.1,3,103.4,-1.3,108,3.3,"","P. Westhead (28-54)","R. Theus (6.5)",0.823529411764706
"766","1981","CHI",0.89,"NBA",34,48,0.415,5,-1.57,99,-1.9,106.6,-0.3,108.6,1.7,"","J. Sloan (19-32) P. Johnson (0-1) R. Thorn (15-15)","A. Gilmore (12.1)",0.755555555555556
"767","1980","CHI",0.7,"NBA",45,37,0.549,2,2.34,100.6,-1.2,107.8,2.3,105.8,0.3,"Lost E. Conf. Semis","J. Sloan (45-37)","A. Gilmore (12.3)",1.5
"768","1979","CHI",0.45,"NBA",30,52,0.366,4,-2.63,101.8,-1.3,104.3,-1,107,1.7,"","J. Sloan (30-52)","R. Theus (6.9)",0.967741935483871
"769","1978","CHI",0.65,"NBA",31,51,0.378,5,-3.78,102.9,-2.9,101.3,-2.5,105.1,1.3,"","L. Costello (20-36) S. Robertson (11-15)","A. Gilmore (12.7)",0.775
"770","1977","CHI",0.79,"NBA",40,42,0.488,3,-0.79,101.5,-5.2,102,1.1,102.9,2,"","E. Badger (40-42)","A. Gilmore (11.5)",0.909090909090909
"771","1976","CHI",0.5,"NBA",44,38,0.537,3,0.92,100,-6.5,98.3,-1.2,97.4,-2.1,"Lost W. Conf. 1st Rnd.","E. Badger (44-38)","A. Gilmore (12.2)",1.83333333333333
"772","1975","CHI",0.72,"NBA",24,58,0.293,4,-2.89,100.3,-5.2,95.2,-3.1,98,-0.3,"","D. Motta (24-58)","M. Johnson (8.3)",0.51063829787234
"773","1974","CHI",0.64,"NBA",47,35,0.573,1,2.88,99.7,-4.8,97.4,-0.3,94.4,-3.3,"Lost W. Conf. Finals","D. Motta (47-35)","C. Walker (10.5)",0.87037037037037
"774","1973","CHI",0.96,"NBA",54,28,0.659,2,3.2,105,-2.8,96.7,-1,93.6,-4.1,"Lost W. Conf. Finals","D. Motta (54-28)","C. Walker (10.6)",1.05882352941176
"775","1972","CHI",0.82,"NBA",51,31,0.622,2,3.43,104.5,-6.2,98.9,2.1,95.6,-1.2,"Lost W. Conf. Semis","D. Motta (51-31)","C. Walker (10.9)",0.894736842105263
"776","1971","CHI",0.73,"NBA",57,25,0.695,2,7.91,108.6,-3.4,101.9,4,94.3,-3.6,"Lost W. Conf. Semis","D. Motta (57-25)","C. Walker (14.5)",1.11764705882353
"777","1970","CHI",0.75,"NBA",51,31,0.622,2,5.47,109.7,-5.4,100.5,3.3,95.7,-1.5,"Lost W. Conf. Semis","D. Motta (51-31)","C. Walker (10.9)",1.30769230769231
"778","1969","CHI",0.67,"NBA",39,43,0.476,3,-1.71,116.5,-0.6,97.6,-1.4,99.1,0.1,"Lost W. Div. Semis","D. Motta (39-43)","C. Walker (9.8)",1.18181818181818
"779","1968","CHI",0.73,"NBA",33,49,0.402,5,-2.11,113.4,-3.5,92,-3.5,94,-1.5,"","D. Motta (33-49)","B. Boozer (11.6)",1.13793103448276
"780","1967","CHI",0.77,"NBA",29,53,0.354,4,-3.76,115.7,-4.1,94.1,-2.7,97.5,0.7,"Lost W. Div. Semis","R. Kerr (29-53)","B. Boozer (10.6)",0.878787878787879
"781","1966","CHI",NA,"NBA",33,48,0.407,4,-3.37,122.2,0.6,92.3,-3.8,95.4,-0.7,"Lost W. Div. Semis","R. Kerr (33-48)","B. Boozer (9.4)",NA
"782","2017","GSW",0.81,"NBA",28,8,0.778,1,9.38,100.1,3,113.7,5.9,104,-3.8,"","S. Kerr (28-8)","K. Durant (4.5)",0.417910447761194
"783","2016","GSW",0.67,"NBA",67,15,0.817,1,11.35,99.8,3.4,115.6,6.8,104,-4.8,"Won Finals","S. Kerr (67-15)","S. Curry (12.6)",0.917808219178082
"784","2015","GSW",0.95,"NBA",73,9,0.89,1,10.38,99.3,3.5,114.5,8.1,103.8,-2.6,"Lost Finals","S. Kerr (73-9)","S. Curry (17.9)",1.08955223880597
"785","2014","GSW",0.8,"NBA",67,15,0.817,1,10.01,98.3,4.4,111.6,6,101.4,-4.2,"Won Finals","S. Kerr (67-15)","S. Curry (15.7)",1.31372549019608
"786","2013","GSW",0.71,"NBA",51,31,0.622,2,5.15,96.2,2.3,107.5,0.8,102.6,-4.1,"Lost W. Conf. 1st Rnd.","M. Jackson (51-31)","S. Curry (13.4)",1.08510638297872
"787","2012","GSW",0.52,"NBA",47,35,0.573,2,1.32,94.5,2.5,106.4,0.5,105.5,-0.4,"Lost W. Conf. Semis","M. Jackson (47-35)","S. Curry (11.2)",2.04347826086957
"788","2011","GSW",0.47,"NBA",23,43,0.348,4,-2.79,92.3,1,105.4,0.8,109.1,4.5,"","M. Jackson (23-43)","D. Lee (5.0)",0.638888888888889
"789","2010","GSW",0.53,"NBA",36,46,0.439,3,-2,94.8,2.7,108.2,0.9,110.7,3.4,"","K. Smart (36-46)","S. Curry (6.6)",1.38461538461538
"790","2009","GSW",0.58,"NBA",26,56,0.317,4,-3.28,100.4,7.7,108.1,0.5,111.7,4.1,"","D. Nelson (26-56)","C. Maggette (6.3)",0.896551724137931
"791","2008","GSW",0.56,"NBA",29,53,0.354,3,-3.8,98.2,6.5,109.5,1.2,113.3,5,"","D. Nelson (29-53)","A. Biedrins (5.4)",0.604166666666667
"792","2007","GSW",0.91,"NBA",48,34,0.585,3,2.38,98.8,6.4,111.8,4.3,109.5,2,"","D. Nelson (48-34)","M. Ellis (9.0)",1.14285714285714
"793","2006","GSW",0.67,"NBA",42,40,0.512,3,0,99.2,7.3,107,0.5,107.4,0.9,"Lost W. Conf. Semis","D. Nelson (42-40)","A. Biedrins (6.7)",1.23529411764706
"794","2005","GSW",0.88,"NBA",34,48,0.415,5,-1.11,93.3,2.8,104.8,-1.4,106.2,0,"","M. Montgomery (34-48)","J. Richardson (7.3)",1
"795","2004","GSW",0.72,"NBA",34,48,0.415,5,-1.74,93.3,2.4,104.7,-1.4,106.9,0.8,"","M. Montgomery (34-48)","J. Richardson (5.7)",0.918918918918919
"796","2003","GSW",0.45,"NBA",37,45,0.451,4,-0.07,89.8,-0.3,103,0.1,103.8,0.9,"","E. Musselman (37-45)","E. Dampier (8.9)",0.973684210526316
"797","2002","GSW",0.85,"NBA",38,44,0.463,6,-0.6,94.2,3.2,108.3,4.7,109.5,5.9,"","E. Musselman (38-44)","A. Jamison (8.5)",1.80952380952381
"798","2001","GSW",0.72,"NBA",21,61,0.256,7,-4.8,94.5,3.8,102.8,-1.7,108.5,4,"","D. Cowens (8-15) B. Winters (13-46)","A. Jamison (6.4)",1.23529411764706
"799","2000","GSW",0.62,"NBA",17,65,0.207,7,-8.11,94.1,2.8,97.8,-5.2,107.4,4.4,"","D. Cowens (17-65)","A. Jamison (6.7)",0.894736842105263
"800","1999","GSW",0.51,"NBA",19,63,0.232,6,-7.63,95.4,2.3,99.8,-4.3,108.4,4.3,"","P. Carlesimo (6-21) G. St. Jean (13-42)","D. Marshall (3.8)",0.904761904761905
"801","1998","GSW",0.58,"NBA",21,29,0.42,6,-2.63,88.9,0,98.4,-3.8,101.1,-1.1,"","P. Carlesimo (21-29)","D. Marshall (3.0)",1.10526315789474
"802","1997","GSW",0.39,"NBA",19,63,0.232,6,-9.2,91.4,1.1,95.8,-9.2,105.7,0.7,"","P. Carlesimo (19-63)","D. Marshall (4.2)",0.633333333333333
"803","1996","GSW",0.68,"NBA",30,52,0.366,7,-4.9,91.9,1.8,107.2,0.5,112.2,5.5,"","R. Adelman (30-52)","L. Sprewell (8.1)",0.833333333333333
"804","1995","GSW",0.54,"NBA",36,46,0.439,6,-1.42,93.4,1.6,108.4,0.8,109.9,2.3,"","R. Adelman (36-46)","B. Armstrong (7.0)",1.38461538461538
"805","1994","GSW",0.41,"NBA",26,56,0.317,6,-4.9,97.9,5,106.7,-1.6,112.2,3.9,"","D. Nelson (14-31) B. Lanier (12-25)","T. Hardaway (5.1)",0.52
"806","1993","GSW",0.74,"NBA",50,32,0.61,3,1.76,99.1,4,108.3,2,106.5,0.2,"Lost W. Conf. 1st Rnd.","D. Nelson (50-32)","L. Sprewell (8.0)",1.47058823529412
"807","1992","GSW",0.66,"NBA",34,48,0.415,6,-0.94,99.5,2.7,109.2,1.2,110.2,2.2,"","D. Nelson (34-48)","T. Hardaway (7.5)",0.618181818181818
"808","1991","GSW",0.76,"NBA",55,27,0.671,2,3.77,103.4,6.8,113.6,5.4,109.9,1.7,"Lost W. Conf. 1st Rnd.","D. Nelson (55-27)","C. Mullin (10.8)",1.25
"809","1990","GSW",0.83,"NBA",44,38,0.537,4,1.72,103.6,5.8,111.9,4,110.3,2.4,"Lost W. Conf. Semis","D. Nelson (44-38)","C. Mullin (12.2)",1.18918918918919
"810","1989","GSW",0.62,"NBA",37,45,0.451,5,-2.55,105.9,7.6,109.6,1.5,112.6,4.5,"","D. Nelson (37-45)","C. Mullin (10.2)",0.86046511627907
"811","1988","GSW",0.71,"NBA",43,39,0.524,4,-0.59,107.3,6.7,107.4,-0.4,107.7,-0.1,"Lost W. Conf. Semis","D. Nelson (43-39)","C. Mullin (10.6)",2.15
"812","1987","GSW",0.52,"NBA",20,62,0.244,5,-8.38,101.6,2,104.7,-3.3,112.9,4.9,"","G. Karl (16-48) E. Gregory (4-14)","R. Higgins (5.7)",0.476190476190476
"813","1986","GSW",0.79,"NBA",42,40,0.512,3,-2.54,101.7,0.9,108.9,0.6,111.2,2.9,"Lost W. Conf. Semis","G. Karl (42-40)","S. Floyd (10.0)",1.4
"814","1985","GSW",0.6,"NBA",30,52,0.366,6,-3.59,104.2,2.1,108.3,1.1,111.6,4.4,"","J. Bach (30-52)","S. Floyd (7.5)",1.36363636363636
"815","1984","GSW",0.66,"NBA",22,60,0.268,6,-7.21,103.2,1.1,106,-1.9,113,5.1,"","J. Bach (22-60)","P. Short (6.2)",0.594594594594595
"816","1983","GSW",0.8,"NBA",37,45,0.451,5,-3.35,103.3,1.9,105.5,-2.1,108.8,1.2,"","J. Bach (37-45)","P. Short (6.0)",1.23333333333333
"817","1982","GSW",0.68,"NBA",30,52,0.366,5,-3.48,104,0.9,103.9,-0.8,107.4,2.7,"","A. Attles (30-52)","J. Carroll (7.0)",0.666666666666667
"818","1981","GSW",0.83,"NBA",45,37,0.549,4,0.8,101.4,0.5,108.8,1.9,107.7,0.8,"","A. Attles (45-37)","B. King (8.7)",1.15384615384615
"819","1980","GSW",0.33,"NBA",39,43,0.476,4,-1.41,101,-0.8,108.5,3,109.7,4.2,"","A. Attles (39-43)","B. King (9.1)",1.625
"820","1979","GSW",0.95,"NBA",24,58,0.293,6,-4.2,100.5,-2.6,102,-3.3,106.3,1,"","A. Attles (18-43) J. Bach (6-15)","S. Parker (6.8)",0.631578947368421
"821","1978","GSW",0.56,"NBA",38,44,0.463,6,0.46,102.2,-3.6,102.4,-1.4,102,-1.8,"","A. Attles (38-44)","J. Lucas (7.9)",0.883720930232558
"822","1977","GSW",0.75,"NBA",43,39,0.524,5,0.41,106,-0.7,99.6,-1.3,99.3,-1.6,"","A. Attles (43-39)","R. Barry (9.7)",0.934782608695652
"823","1976","GSW",0.87,"NBA",46,36,0.561,3,3.1,107.8,1.3,102.4,2.9,99.5,0,"Lost W. Conf. Semis","A. Attles (46-36)","R. Barry (8.4)",0.779661016949153
"824","1975","GSW",0.86,"NBA",59,23,0.72,1,6.23,108.3,2.8,100.6,2.3,94.5,-3.8,"Lost W. Conf. Finals","A. Attles (59-23)","R. Barry (9.6)",1.22916666666667
"825","1974","GSW",0.63,"NBA",48,34,0.585,1,2.86,107.6,3.1,100.4,2.7,97.3,-0.4,"Won Finals","A. Attles (48-34)","R. Barry (12.7)",1.09090909090909
"826","1973","GSW",0.84,"NBA",44,38,0.537,2,2.42,108.9,1.1,100.8,3.1,98.4,0.7,"","A. Attles (44-38)","R. Barry (10.4)",0.936170212765957
"827","1972","GSW",0.75,"NBA",47,35,0.573,2,3.12,112.2,1.5,96.8,0,94,-2.8,"Lost W. Conf. Finals","A. Attles (47-35)","R. Barry (10.2)",0.92156862745098
"828","1971","GSW",0.72,"NBA",51,31,0.622,2,0.92,113,1,95.6,-2.3,94.9,-3,"Lost W. Conf. Semis","A. Attles (51-31)","J. Mullins (9.9)",1.24390243902439
"829","1970","GSW",0.92,"NBA",41,41,0.5,2,-0.83,113.5,-1.6,94.2,-3,95.5,-1.7,"Lost W. Conf. Semis","A. Attles (41-41)","J. Lucas (10.5)",1.36666666666667
"830","1969","GSW",0.76,"NBA",30,52,0.366,6,-4.15,116.3,-0.8,94.8,-4.2,98.6,-0.4,"","G. Lee (22-30) A. Attles (8-22)","J. Lucas (7.6)",0.731707317073171
"831","1968","GSW",0.89,"NBA",41,41,0.5,3,-1.53,117.1,0.2,92.2,-3.3,93.5,-2,"Lost W. Div. Semis","G. Lee (41-41)","J. Mullins (10.0)",0.953488372093023
"832","1967","GSW",0.8,"NBA",43,39,0.524,3,-0.66,123.6,3.8,94.1,-2.7,94.6,-2.2,"Lost W. Div. Finals","B. Sharman (43-39)","R. LaRusso (8.6)",0.977272727272727
"833","1966","GSW",0.74,"NBA",44,37,0.543,1,2.58,127.4,5.8,95.3,-0.8,93.1,-3,"Lost Finals","B. Sharman (44-37)","R. Barry (14.4)",1.25714285714286
"834","1965","GSW",0.74,"NBA",35,45,0.438,4,-2.36,124.6,3.2,92.6,-2.3,94.8,-0.1,"","A. Hannum (35-45)","R. Barry (10.4)",2.05882352941176
"835","1964","GSW",0.76,"NBA",17,63,0.213,5,-5.49,119.7,2.4,87.7,-5.9,92.8,-0.8,"","A. Hannum (17-63)","W. Chamberlain (7.5)",0.354166666666667
"836","1963","GSW",0.84,"NBA",48,32,0.6,1,4.41,115.1,1.9,93,-1.6,88.6,-6,"Lost Finals","A. Hannum (48-32)","W. Chamberlain (25.0)",1.54838709677419
"837","1962","GSW",0.63,"NBA",31,49,0.388,4,-1.86,123.2,8.2,95.2,-0.7,96.8,0.9,"","B. Feerick (31-49)","W. Chamberlain (20.9)",0.63265306122449
"838","1961","GSW",0.8,"NBA",49,31,0.613,2,2.63,131.1,9.8,94.5,0.9,92.4,-1.2,"Lost E. Div. Finals","F. McGuire (49-31)","W. Chamberlain (23.1)",1.06521739130435
"839","1960","GSW",0.85,"NBA",46,33,0.582,2,0.89,132,8.5,91.2,-0.9,90.5,-1.6,"Lost E. Div. Semis","N. Johnston (46-33)","W. Chamberlain (18.8)",0.938775510204082
"840","1959","GSW",0.8,"NBA",49,26,0.653,2,2.77,133.3,11,88.7,-2.4,86.8,-4.3,"Lost E. Div. Finals","N. Johnston (49-26)","W. Chamberlain (17.0)",1.53125
"841","1958","GSW",0.79,"NBA",32,40,0.444,4,-2.29,118.4,6.4,86.7,-3.5,89.3,-0.9,"","A. Cervi (32-40)","P. Arizin (13.0)",0.864864864864865
"842","1957","GSW",0.7,"NBA",37,35,0.514,3,0.21,117.8,0.8,88.3,-0.5,88.4,-0.4,"Lost E. Div. Finals","G. Senesky (37-35)","N. Johnston (11.3)",1
"843","1956","GSW",0.84,"NBA",37,35,0.514,3,1.54,108,3.1,92.4,3.5,90.9,2,"Lost E. Div. Semis","G. Senesky (37-35)","N. Johnston (13.7)",0.822222222222222
"844","1955","GSW",0.75,"NBA",45,27,0.625,1,3.82,108.5,5.7,94.6,4.3,90.7,0.4,"Won Finals","G. Senesky (45-27)","N. Johnston (13.9)",1.36363636363636
"845","1954","GSW",0.68,"NBA",33,39,0.458,4,-0.19,102.9,4.8,89.6,-0.2,89.9,0.1,"","E. Gottlieb (33-39)","N. Johnston (15.4)",1.13793103448276
"846","1953","GSW",0.35,"NBA",29,43,0.403,4,-1.89,89.4,5.8,86.7,-0.8,89,1.5,"","E. Gottlieb (29-43)","N. Johnston (18.3)",2.41666666666667
"847","1952","GSW",0.56,"NBA",12,57,0.174,5,-7.75,94.9,14.4,83.9,-4.1,91.4,3.7,"","E. Gottlieb (12-57)","N. Johnston (15.3)",0.363636363636364
"848","1951","GSW",NA,"NBA",33,33,0.5,4,-1.08,95.5,9.7,89.5,2.6,90.8,3.9,"Lost E. Div. Semis","E. Gottlieb (33-33)","P. Arizin (16.0)",0.825
"849","1950","GSW",NA,"NBA",40,26,0.606,1,3.4,99.3,13.8,84.8,-0.3,81,-4.1,"Lost E. Div. Semis","E. Gottlieb (40-26)","P. Arizin (13.7)",1.53846153846154
"850","1949","GSW",NA,"NBA",26,42,0.382,4,-2.27,NA,NA,NA,NA,NA,NA,"Lost E. Div. Semis","E. Gottlieb (26-42)","L. Mogus (8.0)",0.928571428571429
"851","1948","GSW",NA,"BAA",28,32,0.467,4,0.21,NA,NA,NA,NA,NA,NA,"Lost E. Div. Semis","E. Gottlieb (28-32)","E. Sadowski (10.7)",1.03703703703704
"852","1947","GSW",NA,"BAA",27,21,0.563,1,0.69,NA,NA,NA,NA,NA,NA,"Lost Finals","E. Gottlieb (27-21)","H. Dallmar (7.0)",0.771428571428571
"853","1946","GSW",NA,"BAA",35,25,0.583,2,3.16,NA,NA,NA,NA,NA,NA,"Won Finals","E. Gottlieb (35-25)","J. Fulks (16.3)",NA
"854","2017","LAC",0.36,"NBA",15,19,0.441,2,-1,96.8,-0.3,108.6,0.8,109.1,1.3,"","D. Rivers (15-19)","D. Jordan (4.2)",0.294117647058824
"855","2016","LAC",0.8,"NBA",51,31,0.622,2,4.42,96.1,-0.3,112.7,3.9,108.2,-0.6,"Lost W. Conf. 1st Rnd.","D. Rivers (51-31)","D. Jordan (11.8)",0.962264150943396
"856","2015","LAC",0.61,"NBA",53,29,0.646,2,4.13,95.8,0,108.3,1.9,103.8,-2.6,"Lost W. Conf. 1st Rnd.","D. Rivers (53-29)","C. Paul (12.7)",0.946428571428571
"857","2014","LAC",0.83,"NBA",56,26,0.683,2,6.8,94.7,0.8,112.4,6.8,105.5,-0.1,"Lost W. Conf. Semis","D. Rivers (56-26)","C. Paul (16.1)",0.982456140350877
