"","Season","Team","Roster Continuity","Lg","W","L","WP","Finish","SRS","Pace","Rel_Pace","ORtg","Rel_ORtg","DRtg","Rel_DRtg","Playoffs","Coaches","Top.WS","Winning.Percentage.ratio"
"67","1951","BOS",NA,"NBA",39,27,0.591,2,3.6,100,14.2,90.4,3.5,86.4,-0.5,"Lost E. Div. Semis","R. Auerbach (39-27)","E. Macauley (13.8)",1
"68","1950","BOS",NA,"NBA",39,30,0.565,2,-0.41,95.9,10.4,87.3,2.2,87.6,2.5,"Lost E. Div. Semis","R. Auerbach (39-30)","E. Macauley (15.9)",1.77272727272727
"69","1949","BOS",NA,"NBA",22,46,0.324,6,-1.73,NA,NA,NA,NA,NA,NA,"","A. Julian (22-46)","B. Kinney (4.8)",0.88
"70","1948","BOS",NA,"BAA",25,35,0.417,5,-2.76,NA,NA,NA,NA,NA,NA,"","A. Julian (25-35)","J. Seminoff (5.4)",1.25
"71","1947","BOS",NA,"BAA",20,28,0.417,3,-3.76,NA,NA,NA,NA,NA,NA,"Lost Quarterfinals","J. Russell (20-28)","E. Sadowski (9.3)",0.909090909090909
"72","1946","BOS",NA,"BAA",22,38,0.367,5,-4.45,NA,NA,NA,NA,NA,NA,"","J. Russell (22-38)","C. Simmons (6.1)",NA
"73","2017","TOR",0.84,"NBA",24,10,0.706,2,7.07,98.1,1,112.8,5,104.8,-3,"","D. Casey (24-10)","D. DeRozan (4.7)",0.470588235294118
"74","2016","TOR",0.84,"NBA",51,31,0.622,2,3.65,94.7,-1.7,112.3,3.5,107.8,-1,"Lost E. Conf. Semis","D. Casey (51-31)","K. Lowry (10.1)",0.910714285714286
"75","2015","TOR",0.62,"NBA",56,26,0.683,1,4.08,92.9,-2.9,110,3.6,105.2,-1.2,"Lost E. Conf. Finals","D. Casey (56-26)","K. Lowry (11.6)",1.14285714285714
"76","2014","TOR",0.82,"NBA",49,33,0.598,1,2.45,92.8,-1.1,111,5.4,107.7,2.1,"Lost E. Conf. 1st Rnd.","D. Casey (49-33)","J. Valanciunas (8.2)",1.02083333333333
"77","2013","TOR",0.68,"NBA",48,34,0.585,1,2.55,91.8,-2.1,108.8,2.1,105.3,-1.4,"Lost E. Conf. 1st Rnd.","D. Casey (48-34)","K. Lowry (11.7)",1.41176470588235
"78","2012","TOR",0.55,"NBA",34,48,0.415,5,-1.96,90.4,-1.6,105.9,0,107.5,1.6,"","D. Casey (34-48)","A. Johnson (7.3)",1.47826086956522
"79","2011","TOR",0.78,"NBA",23,43,0.348,4,-3.67,89.3,-2,100.8,-3.8,104.5,-0.1,"","D. Casey (23-43)","J. Calderon (5.1)",1.04545454545455
"80","2010","TOR",0.59,"NBA",22,60,0.268,5,-6.28,92.9,0.8,106.1,-1.2,112.9,5.6,"","J. Triano (22-60)","A. Johnson (5.6)",0.55
